State Code,Population,Year
00,"334914895",2023
00,"56983517",2023
00,"15159777",2023
00,"41823740",2023
00,"68909283",2023
00,"47146039",2023
00,"21763244",2023
00,"130125290",2023
00,"68225883",2023
00,"19700801",2023
00,"42198606",2023
00,"78896805",2023
00,"25716830",2023
00,"53179975",2023
01,"5108468",2023
02,"733406",2023
04,"7431344",2023
05,"3067732",2023
06,"38965193",2023
08,"5877610",2023
09,"3617176",2023
10,"1031890",2023
11,"678972",2023
12,"22610726",2023
13,"11029227",2023
15,"1435138",2023
16,"1964726",2023
17,"12549689",2023
18,"6862199",2023
19,"3207004",2023
20,"2940546",2023
21,"4526154",2023
22,"4573749",2023
23,"1395722",2023
24,"6180253",2023
25,"7001399",2023
26,"10037261",2023
27,"5737915",2023
28,"2939690",2023
29,"6196156",2023
30,"1132812",2023
31,"1978379",2023
32,"3194176",2023
33,"1402054",2023
34,"9290841",2023
35,"2114371",2023
36,"19571216",2023
37,"10835491",2023
38,"783926",2023
39,"11785935",2023
40,"4053824",2023
41,"4233358",2023
42,"12961683",2023
44,"1095962",2023
45,"5373555",2023
46,"919318",2023
47,"7126489",2023
48,"30503301",2023
49,"3417734",2023
50,"647464",2023
51,"8715698",2023
53,"7812880",2023
54,"1770071",2023
55,"5910955",2023
56,"584057",2023
72,"3205691",2023
